广东频道,#genre#
珠江1,http://119.123.79.35:9600/hls/17/index.m3u8

珠江2,http://218.13.170.98:9901/tsfile/live/1000_1.m3u8

珠江3,http://219.159.194.66:8181/tsfile/live/1000_1.m3u8

新闻1,http://119.123.79.35:9600/hls/20/index.m3u8

新闻2,http://171.38.42.252:8181/tsfile/live/1040_1.m3u8

广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj

广东珠江,http://163.177.122.29:9901/tsfile/live/1008_1.m3u8

广东新闻,http://163.177.122.29:9901/tsfile/live/1009_1.m3u8

广东民生,http://163.177.122.29:9901/tsfile/live/1010_1.m3u8

广东民生,http://183.11.239.36:808/hls/18/index.m3u8

广东体育,http://163.177.122.29:9901/tsfile/live/1011_1.m3u8

广东卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000520/index.m3u8

大湾卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000011619/index.m3u8





广东TV,#genre#
珠江,http://119.123.79.35:9600/hls/17/index.m3u8

新闻,http://119.123.79.35:9600/hls/20/index.m3u8

广东珠江,http://116.1.184.18:8181/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0$广西电信酒店
广东新闻,http://116.1.184.18:8181/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0$广西电信酒店
广东公共,http://116.1.184.18:8181/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0$广西电信酒店
广东体育,http://116.1.184.18:8181/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0$广西电信酒店
大湾卫视,http://116.1.184.18:8181/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0$广西电信酒店
广州台,http://116.1.184.18:8181/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0$广西电信酒店
广东科教,http://116.1.184.18:8181/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0$广西电信酒店
